trial,test_accuracy,train_accuracy,num_epochs
0,0.9214092140921409,0.967391304347826,1
1,0.8888888888888888,0.9456521739130435,2
2,0.8184281842818428,0.7934782608695652,3
3,0.9186991869918699,0.9239130434782609,4
4,0.9024390243902439,0.967391304347826,5
